ClientID,ClientName
1,786 Super Mart Misri Shah
2,Anonymous
3,Al basit 
4,AL BADAR GEN & MEDICAL STORE GULSHAN-E-IQBAL
5,ABDULLAH GEN STORE P&T GIZRI
6,ABASI SUPER  STORE  
7,Ayesha Discount Store F.B.Area 
8,A E G MART BOUNGER TOTAL PUMP CANTT
9,ANAAJ GENERAL STORE 
10,AHMED GENERAL STORE AKHTER COLONY
11,ASHRAF GEN STORE DEF PH 2
12,AKBER GENERAL STORE GIZARI
13,ANAM GEN STORE GULSHAN-E-IQBAL
14,Asim Gen Store Mehmoodabad
15,ALI GEN STORE P&T GIZRI
16,AYAAN GEN STORE SHABAZ COMM
17,Al Haram Bakery & Gen store paposh
18,AL HABIB GEN STORE NORTH NAZIMABAD
19,AL HABIB MEDICAL G/I
20,Ahmed Medical & Gen Store Neelum Colony
21,AL HAMID MEDICAL STORE  5% DEF-4
22,AL HAMID RICE Super Store Saher Comerical
23,Al Hafeez Super Store Gulshan Iqbal
24,Al Ithed Super Store Khyban e Ithed
25,AL JABBAR GEN STORE SADDAR
26,AGHA JAN SUPER STORE Saher Comm
27,AL KHAIR CHEMIEST 5%
28,AKBER GENERAL STORE PAPOSH
29,Alam Medical Gulshan-e-Iqbal
30,AL SHIFA  SADDAR
31,Al Mubarik Defence Phase 2
32,AYAAN MEDICAL & GEN STORE
33,AL MAKKAH GEN STORE SAHER COMM
34,AL MUBARAK GENERAL STORE SADDAR
35,Apna Mart Hussainabad
36,Al Masoom Khawaja Gen Store Dehli Colony
37,AL MADINA MEDICAL HAIDRY
38,AMNA MART NAZIMABAD
39,Askari Milk Shop Askari IV
40,AL MADINA SUPER STORE BADAR COM
41,Al Noor Gen Store Nishat
42,AM : PM MART & MEDICOSE NORTH NAZIMBAD
43,AL QUDRAT KALAPUL
44,AL REHMAN GEN STORE BADAR COMMERCIAL
45,ARBAZ GEN STORE PECHS
46,Arshi MediCose Gulshan-e-Iqbal
47,AMBER STORE G/I
48,AL SAJAD MEDICAL & GENERAL STORE 
49,ASK MEDICAL & GEN STORE CANTT
50,ABDUL SATTAR MEDICAL MEHMOODABAD
51,AL SHIFA MEDICOSE TOHEED COMM
52,Agha Store P-2
53,Aijaz Super Store Askari IV
54,Askari Super Store Chota Bukhari
55,AHMED SUPER STORE DEFENCE VIEW
56,Agha Super Store Garden
57,AZEEM SUPER STORE HAIDRY
58,AHMED SUPER STORE MEHMOODABAD
59,Al Tamoria Mart Gulshan-e-Iqbal
60,Asaish Three Star super store Gulshan-e-Iqbal
61,A TO Z SUPER MART TEEN TALWAR
62,AL UMER W/S AKHTER COLONY
63,ABU WAQAS MART & MEDICOSE SAHER COMM
64,Allah Wala Store Khada Market
65,ARMY WELFARE SHOP SHAZAD SEA BREEZ PLAZA
66,BRIGHT BAKRY GT ROAD DHARKI
67,BISMILLAH DRY FRUIT SUKKUR
68,BISMILLAH GENERAL STORE AL-SUKHARA
69,Bismillah Gen. Store Cantt
70,BARI GEN STORE NAGIN CHOWRANGI
71,BISMILLAH GEN STORE PECHS
72,Bareera Gen Store P-2
73,Bawa mini mart
74,Bismillah Mini Mart Badar Commercial
75,BISMILLAH STORE & BAKERS DEFENCE VIEW
76,BLUE SKY BAKARY F.B AREA
77,BAIG SONS MEHMOODABAD
78,BISMILLAH SUPER MART HAIDRY
79,BATALA STORE P-2
80,BISMILLAH SUPER STORE MOSAMIAT
81,BAKHTIYAR TRADER GULISTAN-E-JOHAR
82,Choco Bite Phase II DHA 5 %
83,CLIFTON CHEMIST & SUPE STORE
84,CHANNAR DEPARTMANTAL STORE Bader Comercial
85,City Mart Gulestan-e-Johar
86,CHINIOT MINI MART P-2
87,CVS PHARMACY & SUPER MART 5% P-4
88,CORANCE STORE BILAWAL HOUSE
89,Classic Store Khada Markeet
90,CUTPRICE STORE Saher Comm
91,CORPS WELFARE SHOPPING COMPLEX SADDAR
92,Defence 7 Store 5%
93,DECENT BAKRY MANZOOR COLONY
94,Day Break Navy Heights
95,DEFENCE GRAND MART 
96,DELIGHT GEN STORE SHABAZ COMMERCIAL
97,DATA MEDICAL G/I
98,Defence Store 5%
99,Dogar Store Mehmoodabad
100,DISCOUNT SUPER STORE Gulshan-e-Iqbal
101,EBCO SUPER MARKEET PUNJAB CHOWRANGI
102,Ejaz Super Store Tariq Road
103,Fancy Gernal Store
104,FARHAN GEN STORE KDA
105,FRANTIOR GEN STORE NISHAT COMMERCIAL
106,FINE QUALITY GULSHAN
107,FAREED GENERAL STORE
108,Five Star Bleesing store 
109,Faheem Shah Gen store Def-2
110,FAMILY SUPER MARKET BAHADRABAD
111,Farhan Super Mart Misri Shah
112,GILYAT GEN STORE KDA
113,GILANIS HOUSE OF QUALITY NAZIMABAB
114,GHOPHER PHARMACY & MINIMART
115,GHORI STORE PAKITAN CHOK
116,GALAXY SUPER STORE KHADA MARKET
117,H A MART NAZIMABAD
118,HAMZA BAKERS NAZIMABAD # 2
119,HAQ BAHOO SEA VIEW
120,health care mini mart
121,Haji Fateh Mohammad Azam Basti
122,Hassan Gen Store Saddar
123,HAMMD MEDICAL & GEN STORE D PH 1
124,Hamza Medical Store Defense Phase IV
125,IDEAL BAKERS G/I
126,IDEAL BAKERS & SWEETS CHANDNI CHOWK
127,IDEAL CHEMIEST ABDULLAH SHAH GAZI
128,IBA CANTEEN GARDEN WEST
129,IRFAN GEN STORE MEHMODABAD GREEN BELT
130,Iqbal Gen Store Neelum Colony
131,Ilyas Super Store Askari IV
132,Ideal Medical Chaniserhalt
133,IQBAL SUPER STORE AZAM BASTI
134,IDEAL STATIONARY NURSERY
135,JAMIL BAKERS DORAJI
136,JALAL BAKERS DEHLI COLONY
137,JAVAID GEN STORE KHADA MARKEET
138,JAILANI GEN STORE SHAHBAZ COMMERCIAL
139,JAILANI GEN STORE TOHEED COMMERCILA
140,JHOLY LAL GENERAL STORE  TOHEED COM. 5%
141,JUNAID STORE RANCHOR LINE
142,Kumar Brother's distribution network
143,KAMAL BAKRY GIZRI
144,KING BAKERS MEHMOODABAD
145,KING GEN STORE BILAWAL HOUSE
146,KHUSHBOO GEN STORE TEEN TALWAR 5%
147,KOOL MART G/I
148,Kamran Medical Store Defence
149,Kashif Medical Store FB Area
150,Khushboo Store Defence Garden
151,KHOKHAR STORE PECHS 5%
152,LAHORI PAN SHOP KHADA MARKEET
153,MASHALLAH GEN STORE DEFENCE VIEW
154,MASHALLAH PCO SEA VIEW
155,MASHALLAH BAKERS DEFENCE VIEW
156,MEHRAN PCO SEA VIEW
157,MEEWAT E SHEREEN BAKERS AZAM BASTI
158,MANZOOR GEN STORE 
159,Mintaka Gen Store Nishat Commercial
160,Mehran Gen Store Sea View
161,Mashallah Khan Store Badar Commercial
162,MAX MINI MART GULSHAN E IQBAL
163,MASHALLAH MILK P & T GIZRI
164,MASHALLAH MEDICAL STORE-AUNTY
165,MARHABA MED STORE GULSHAN-E-IQBAL
166,MASHALLAH MILK SINDHI MUSLIM SOCIETY 
167,MODERN GEN STORE DEHLI COLONY
168,MIDEAST PHARMACY 5% ABDULHA SHAH GAZI
169,MOOSA PAN SHOP PIDC
170,MAFHH STORE RIZVIA SOCIETY 
171,Master Super Store Azam Basti
172,MEHRAN WELFARE NORTH NAZIMABAD
173,NONE6
174,NASEEM ATA CHUKI BALOCH PUL
175,NEW AL REHMAN GEN STORE Gulshan-e-Iqbal
176,NEW BOLAN GEN STORE NISHAT DEFENCE
177,NEW BAKERS HUTT
178,NEW FRENCH BAKRY P-4
179,NEW GOLDEN BAKRY & GEN STORE NAZIMABAD 
180,NEW GHOSIYA GEN STORE DEFENCE VIEW
181,New Ghazi Hajwari Gulshan-e-Iqbal
182,Nadir Gen Store Badar Commercial
183,NISHAT INYAT GEN STORE NISHAT COMMERCIAL
184,NEW KAMAL BAKRY BADAR COMM
185,New Karim Bakery Chota Mehran
186,NAVAL MART ZAM ZAMA
187,NEW PUNJWANI STORE PIB COLONY
188,NEW QUEETA GEN STORE BILAWAL HOUSE
189,NEW QUEETA MEHMODABAD GATE
190,NEW QUEETA MASHALLAH STORE BALOCH COLONY
191,New Quetta Umer PECHS
192,NISAR & SONS MEDICAL STORE NORTH NAZIMABAD
193,Needs Super Market Defence Phase-4
194,New Town Bakery Askari IV
195,NEW TIME MEDICAL & GEN STORE Gulshan-e-Iqbal
196,office client
197,OWAISE GEN STORE MEHMOODABAD
198,Pak Gen Store Defence Garden
199,PIONEER GEN STORE GIZRI
200,Prince Medical Cantt
201,PRIME MEDICOS & SUPER MART F.B AREA
202,PAK PARADISE
203,PRINCE PAN SHOP 
204,Pak Quetta Gen Store Defence 2
205,Park & Shop Askari IV 
206,Punjab Snac Kala Pul
207,PK SUPER MARKET 2% BADAR COMM
208,PANAWALA STORE SHAHEED-E-MILAT ROAD
209,PINE WOOD SUPER STORE CLIFTON
210,QADRI GEN STORE DEFENCE VIEW
211,QADRI GEN STORE RAIS COURSE
212,Q.D.S MEDICAL STORE 5%
213,QUAILITY STORE 5% DEFENCE GARDEN
214,Qalandri Store Near Beekan House Teen Talwar
215,QADRI STORE RAM SWAMI RANCHOR LINE
216,Rehmat e Shireen Airport
217,RAZI ' S  MART & MEDICOS JOHAR
218,RASHEED SAHEB CITY BANK
219,Razas Super Store Askari IV
220,RASHON SHOP WHOLE SALER
221,R&D Traders Sea View
222,Sachall Gen Store Badar Comercial
223,Saeed Gen Store Badar Comercial
224,SHELL BAHRIA 19 P-6
225,SHALIMAR BAKERS & CONFESIOERS PECHS
226,SAJJAD BAKERS GULSHAN-IQBAL
227,SAAD BAKARY GARDEN WEST
228,SHALIMAR BAKRY MANZOOR COLONY
229,SOHAIL BROTHERS NORTH KHI
230,SONY BABBAR TEEN TALWAR
231,SUPER CILASIC MEDICAL D PH 1
232,SAIN DAWOOD CANTT
233,SEVEN ELEVEN GEN STORE NURSERY
234,SEVEN ELVEN SUPER STORE Bukhari
235,SHAYAAN G/S DEFENCE VIEW
236,SAJID GEN STORE
237,SHAHEEN GEN STORE BILAWAL HOUSE
238,SUBHANUALLAH GEN STORE DAR UL SEHAT HOS
239,SHAHID GEN STORE GIZRI
240,STAR GEN STORE GULSHAN-E-IQBAL
241,Saad GEN STORE MEHMOODABAD
242,SOHAIL GEN STORE MANZOOR COLONY
243,SONY HONEY STORE CLIFTON BRIDGE
244,Step inn Pharmcy & super store Zam Zama
245,SANAS MEDICAL & GEN STORE KHADA MARKEET
246,SHAHEEN MEDICAL GULSHAN-E-IQBAL
247,SHAMSI MEDICO NORTH NAZIMABAD
248,Stippin Medical & Super Store DHA Phase 2
249,STAR MART SHUJAT KHYABANE SHUJAT DEF P-6
250,Sunny Medicose Super Store Defence 2
251,SONY PAN SHOP BILAWAL HOUSE
252,Saifullah Saheb 
253,SHELL SELECT AHMED SHARA FAISAL
254,Sahil Store Bilawal House
255,SHALIMAR STORE G/I
256,Star Super  Mart Saddar 
257,SHOP & STOP PSO M.A JINNAH ROAD
258,SHOP STOP PSO PUMP NURSERY 
259,Super Store P.e.c.h.s Tariq Road
260,SONU SUPER STORE
261,Subhanallah Super Store Farooq
262,S.S.D SUPER STORE TEEN TALWAR
263,S.S.D Super Store West Point DHA Phase 2
264,STUFFIN SHOP TEEN TALWAR
265,SUPER VSP STORE MEHMOODABAD
266,SAHER WHOLESALE SHOP DEF-7
267,SHAHEEN WELFARE SHOP PAF
268,Test Clint
269,TEE EMM MART 5%
270,TAYAB GEN STORE AKHTER COLONY
271,TAJ GEN STORE CHANDNI CHOWK  
272,TAYAB GEN STORE DEFENCE VIEW
273,TANVEER GEN STORE TOHEED COMMERCIAL
274,TWIN HORSE PHARMACY & SUPER MART ZAM ZAMA
275,THE MILK BAR BALOCH PUL
276,THREE STAR PAN SHOP RAHAT COMMERCIAL
277,THREE STAR SUPER STORE RAHAT COMM
278,TOP TEN SUPER MART ZAM ZAMA
279,UNITED 2 STORE MEHMOODABAD
280,USMAN GEN STORE CANTT
281,UMEED GEN STORE MEHMOODABAD 
282,USMAN GENERAL STORE Neelum Colony
283,UNITED STORE 1 MEHMOODABAD
284,UMER STORE ASKRI
285,UTILITY STORE AKHTAR COLONY
286,Unique Store Baloch Pull
287,Waris Gen Store Def-2
288,Warsi Gen Store Gulshan-e-Iqbal
289,WALI MOHD GEN STORE GIZRI
290,WALI STORE BADAR COMMERCIAL
291,Zulfi Bakery
